Date,JPM,BRK.b,BAC,WFC,C,GS,USB,MS,PNC,CHCO,CSBK,AAPL,AMD,ORCL
2013-12-31,52.662452116242,118.56,14.872187129498,40.519492572449,50.695306142110994,168.46401102427,37.037351518304,29.247810365658,71.26274814092399,40.531536326977,11.956218095251,74.57218181919599,3.87,36.125451576781
2014-01-02,52.761509396214,117.5,15.378433704876,40.180342634618,50.850962426562006,168.11237115019,36.569800793691,28.940036850969,70.362548435096,40.041623520089004,11.956218095251,73.523423281972,3.95,35.728883629518
2014-01-03,53.169389128705,117.57,15.674540192361,40.465942582265,51.95028493549599,169.30984747813,36.725651035229,29.387707417790004,70.693234041318,40.592775427838,12.002922072186001,71.908414888148,4.0,35.634462689694
2014-01-06,53.477564926587,116.28,15.913335746785,40.537342569177,52.349154164402,170.46930868455,37.211537082375,29.490298589353,70.601376928479,40.155353278831,12.030944458346,72.300536267718,4.13,35.492379505126
2014-01-07,52.861213330823,116.19,15.760506591954,40.519492572449,52.709109322195,169.44290040346002,37.52323756545,29.397033887932,71.124962471664,40.549033212937005,12.002922072186001,71.783135430437,4.18,35.852323572699
2014-01-08,53.359733003868,115.34,15.836921169368999,40.983592487376,53.32200594222,169.58545710916002,37.66992014572,29.4343397685,72.309919227295,40.680259857639,12.021603662959,72.23806269199001,4.18,35.72918481274
2014-01-09,53.260029069259005,115.32,16.075716723793,41.197792448111,53.701418135569,168.59706394959,37.899111677392995,29.425013298358003,72.74164765764,40.837731831282,12.058966844507001,71.315447608736,4.09,35.662879326608
2014-01-10,53.015301229764006,114.97,16.018405790731002,41.001442484104,53.234449282217,169.53793820726003,37.605746516852,29.191851544806,72.355847783714,40.846480274262,12.012262867573,70.839717975691,4.17,36.098601092617
2014-01-13,52.299245699391,114.01,15.693643836715,40.662292546273,52.261597504398004,167.15248933176,37.385722646446,28.790813328695002,71.474019500455,40.514039441017,12.049626049119999,71.210571755014,4.13,35.757601449653
2014-01-14,52.335501675613,114.96,16.018405790731002,40.689067541365,52.485353413297005,167.83676151916,37.486566920381996,29.005322141963,72.056010353308,40.39939370468,12.077648435281,72.627525621529,4.3,36.193323215662
2014-01-15,53.9217006353,115.85,16.381375033455,41.411992408847,53.497119262228004,169.88007430096002,38.045794257663005,30.04988679788001,72.831998157113,40.65514188574,12.096330026055,74.085685463525,4.47,36.382767461753
2014-01-16,53.468500932531995,115.24,16.314512278216,41.403067410483,51.172003513242,166.47772092475,38.009123612596,29.844704454753,74.76272971658003,40.258291259957,12.086989230668001,73.672296483707,4.38,36.269100914099
2014-01-17,52.670869455661,115.07,16.247649522978,41.403067410483,50.850962426562006,167.53264054698,37.999955951329,31.150410274649,75.991377072604,40.355299190704,12.058966844507001,71.867208912667,4.18,36.193323215662
2014-01-21,52.725253419993,115.15,16.247649522978,41.501242392487,50.442364679878,164.60547618978995,38.119135547799,30.432272073706002,77.700397830984,40.937346775185,12.086989230668001,72.983757925682,4.17,36.098601092617
2014-01-22,52.199541764782,115.26,16.381375033455,41.652967364674,50.491007268768996,165.06165764806005,37.990788290062,30.115172088874,77.792777331437,40.937346775185,12.086989230668001,73.30808882946201,3.67,35.975462332658
2014-01-23,51.184374430583,113.5,16.104372190324,41.367367417027005,49.343042170943,162.27704999658002,37.330716678845,29.359728007364,76.36089507441599,40.893252261209,12.058966844507001,73.92883691169699,3.62,36.136489941834995
2014-01-24,49.933543250944005,111.81,15.712747481069,40.590892559361,47.990778199776,159.32137429825002,36.798992325364,28.399101582726,74.855109217033,40.39939370468,12.049626049119999,72.58499042103401,3.47,35.151379862161996
2014-01-27,49.933543250944005,111.5,15.579021970592,40.635517551181,47.48489527531101,156.51775908601005,36.707315712695,27.951431015904998,74.642636365991,39.658605869885,12.030944458346,73.173837102897,3.41,34.564102699281
2014-01-28,50.522702864542,112.01,15.980198502023999,41.019292480832,48.253448179787,158.00034882537,37.16569877604,28.100654538179,75.049106167984,40.170102232005,11.890832527543001,67.325247034727,3.54,35.141907649858
2014-01-29,50.332358989378996,111.28,15.932439391138999,40.689067541365,46.774713477503006,155.76696043594998,36.450621197222,27.970083956188997,73.78350701177901,39.543960133548005,11.834787755220999,66.560942650819,3.48,35.018768889899
2014-01-30,50.75836670998101,113.0,16.171234945562,41.099617466108,46.998469386401,157.61069382976999,36.78065700283,28.007452137827002,75.400148269705,40.081913204053,11.834787755220999,66.432273669319,3.48,35.426074018994
2014-01-31,50.178271090438,111.6,15.999302146377001,40.465942582265,46.151913105528,155.97604360433002,36.423118213421,27.568376003578,73.792744961824,39.349944272054,11.825446959834,66.541004275586,3.43,34.952463403767
2014-02-03,49.226551714626,108.99,15.6172292593,39.653767731144,45.091285121446,151.88941804072,35.552190393065,27.045221460644,72.453242205256,37.903644213646004,11.909514118316,66.66462220202699,3.33,33.948408899485
2014-02-04,49.806647334169,109.13,15.6172292593,39.957217675519,45.519428527865,153.73315143453,35.854723214873,27.110615778511,72.86894995729399,38.212305811477,11.974899686025,67.629639563275,3.37,34.06207544714
2014-02-05,50.042311179608,108.78,15.664988370184,39.743017714783,45.791883422858,152.45964486354998,35.854723214873,27.260088505063,72.804284306977,37.771360671718995,11.956218095251,68.134745069163,3.31,34.052603234835
2014-02-06,51.193438424638,110.16,15.941991213316,40.237222095138996,46.949816726581,153.72364765415,36.496459503556,27.736532820949996,73.746555211597,37.788998477309,12.021603662959,68.529524898764,3.41,34.781963582285
